regionID,parcel_name,FAT_left,AF_left,PTAT_left,MdLF_left,SLF_III_left,SLF_II_left,SLF_I_left,C_FP_left,C_R_left,C_FPH_left,C_PHP_left,C_PH_left,ILF_left,IFOF_left,UF_left,VOF_left,CST_left,CBT_left,CStr_A_left,CStr_P_left,CStr_S_left,CTh_A_left,CTh_P_left,CTh_S_left,OR_left,F_left,LR,FAT_right,AF_right,PTAT_right,MdLF_right,SLF_III_right,SLF_II_right,SLF_I_right,C_FP_right,C_R_right,C_FPH_right,C_PHP_right,C_PH_right,ILF_right,IFOF_right,UF_right,VOF_right,CST_right,CBT_right,CStr_A_right,CStr_P_right,CStr_S_right,CTh_A_right,CTh_P_right,CTh_S_right,OR_right,F_right,regionLongName,regionIdLabel,region,cortex
43,L_SCEF,0.906103286384977,0.0,0.0,0.0,0.0,0.0591549295774648,1.0,0.444131455399061,0.0,0.513615023474178,0.0,0.0,0.0,0.0,0.0,0.0,0.887323943661972,0.0,0.0,0.0,0.933333333333333,0.0,0.0,0.991549295774648,0.0,0.0,L,,,,,,,,,,,,,,,,,,,,,,,,,,,Supplementary_and_Cingulate_Eye_Field_L,43_L,SCEF,Paracentral_Lobular_and_Mid_Cingulate
44,L_6ma,1.0,0.0,0.0,0.0,0.0,0.329577464788732,0.0131455399061033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.992488262910798,0.0,0.0,0.0,0.99906103286385,0.0,0.0,1.0,0.0,0.0,L,,,,,,,,,,,,,,,,,,,,,,,,,,,Area_6m_anterior_L,44_L,6ma,Paracentral_Lobular_and_Mid_Cingulate
45,L_7Am,0.0,0.0,0.0,0.773674242424242,0.0,0.0,0.948356807511737,0.190610328638498,0.0,0.0,0.60093896713615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.904225352112676,0.0,0.0,0.988732394366197,0.171830985915493,0.0,0.0,L,,,,,,,,,,,,,,,,,,,,,,,,,,,Medial_Area_7A_L,45_L,7Am,Superior_Parietal
46,L_7PL,0.0,0.0,0.0,0.894886363636364,0.0,0.0,0.137089201877934,0.0563380281690141,0.0,0.0,0.810328638497653,0.0,0.0788732394366197,0.0122065727699531,0.0,0.0,0.0,0.0,0.0,0.96056338028169,0.0,0.0,0.995305164319249,0.00375586854460094,0.0,0.0,L,,,,,,,,,,,,,,,,,,,,,,,,,,,Lateral_Area_7P_L,46_L,7Pl,Superior_Parietal
47,L_7PC,0.0,0.0,0.0,0.678030303030303,0.0131455399061033,0.984037558685446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.876056338028169,0.775586854460094,0.0,0.367136150234742,0.413145539906103,0.0,0.0,L,,,,,,,,,,,,,,,,,,,,,,,,,,,Area_7PC_L,47_L,7PC,Superior_Parietal
48,L_LIPv,0.0,0.0,0.0028169014084507,0.775568181818182,0.0,0.529577464788732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.677934272300469,0.0,0.0,0.435680751173709,0.00751173708920188,0.0,0.0,L,,,,,,,,,,,,,,,,,,,,,,,,,,,Area_Lateral_IntraParietal_ventral_L,48_L,LIPv,Superior_Parietal
49,L_VIP,0.0,0.0,0.00845070422535211,0.992424242424242,0.0,0.143661971830986,0.0,0.0,0.0,0.0,0.0300469483568075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.993427230046948,0.0,0.0,0.982159624413146,0.205633802816901,0.0,0.0,L,,,,,,,,,,,,,,,,,,,,,,,,,,,Ventral_IntraParietal_Complex_L,49_L,VIP,Superior_Parietal
50,L_MIP,0.0,0.0,0.015962441314554,0.864583333333333,0.0,0.0394366197183099,0.0,0.0,0.0,0.0,0.07981220657277,0.0,0.00469483568075117,0.000938967136150235,0.0,0.0,0.0,0.0,0.0,0.835680751173709,0.0,0.0,0.792488262910798,0.0,0.0,0.0,L,,,,,,,,,,,,,,,,,,,,,,,,,,,Medial_IntraParietal_Area_L,50_L,MIP,Superior_Parietal
51,L_1,0.0450704225352113,0.367136150234742,0.0,0.000946969696969697,0.982159624413146,1.0,0.0553990610328639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.897652582159624,0.103763987792472,0.0,0.0769953051643193,0.99906103286385,0.0,0.229107981220657,0.930516431924883,0.0,0.0,L,,,,,,,,,,,,,,,,,,,,,,,,,,,Area_1_L,51_L,1,Somatosensory_and_Motor
52,L_2,0.0,0.0,0.0,0.0738636363636364,0.317370892018779,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.371830985915493,0.0,0.0,0.487323943661972,0.978403755868545,0.0,0.367136150234742,0.864788732394366,0.0,0.0,L,,,,,,,,,,,,,,,,,,,,,,,,,,,Area_2_L,52_L,2,Somatosensory_and_Motor
